SL NO:,Dept. Name,Audit Unit Name,Period of last Audit,PARA NO. ,Audit Office,Para_ID,Para Subject,Observation Category Description,Observation Category,IIA/IIB,Monetory Amount,Recovery Amount,IR Despatch Date,Stage,Status,Query raised by,Query date,Response,Response date,Rejoinder date,Resource,File Type
1,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,I/IIA/2003-04,GSA,2210HFW_AU0046_2003-04_IIA_01,Short levy of clinical fees from Dr. Ambedakar College Bangalore for the year 02-03 to 03-04 Rs. 28.29 lakh. (case pending in court) ,, B,IIA,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
2,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,II/IIB/2011-12,GSA,2210HFW_AU0046_2011-12_IIB_01,Difference Amount of Clinical Fees in respect of various nursing colleges Rs. 390500/-,, B,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
3,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,I/IIB/2012-13,GSA,2210HFW_AU0046_2012-13_IIB_01,Excess payment of electricity charges ,, D,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
4,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,III/IIB/2012-13,GSA,2210HFW_AU0046_2012-13_IIB_02,Excess payment of sanitary charges to BWSSB Rs.1.57Lakh ,, D,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
5,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,II/IIB/2014-15,GSA,2210HFW_AU0046_2014-15_IIB_01,Non-collection of rent from shops let out in the hospital premises Rs. 2.72 lakh,,J,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
6,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,IV/IIB/2014-15,GSA,2210HFW_AU0046_2014-15_IIB_02,Excess payment during purchase of X ray films and Dialysis drugs-Rs. 2.47 lakh.,,D,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
7,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,VII/IIB/2014-15,GSA,2210HFW_AU0046_2014-15_IIB_03,Outstanding BWSSB bill towards Quarters- Rs. 22.40 lakh.,,J,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
8,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,XI/IIB/2014-15,GSA,2210HFW_AU0046_2014-15_IIB_04,"Non-remittance of Bank interest Rs. 1,95,154/-",,J,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
9,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,XII/IIB/2014-15,GSA,2210HFW_AU0046_2014-15_IIB_05,Non-Closure of inoperative Bank Account.,,J,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
10,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,II/IIB/2015-16,GSA,2210HFW_AU0046_2015-16_IIB_01,Issue of Birth & Death Certificate on behalf of Bangalore Mahanagara palike.,,J,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
